trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",25,2,-122.4937159911413,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 2}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,4,-10.590504187892607,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,10,-27.29815389837193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-91.3121585787832,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-113.16258714692484,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,1,-47.49727866373274,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,9,16.580482803698143,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-54.04621203360875,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,0,-62.27178421191171,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,9,-19.529742195347545,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,0,11.531497208812473,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,9,8.635869157777813,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,7,-95.33981883703048,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,11,-27.025088432292073,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-2.4344469773259774,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-105.35148049020947,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,13,-5.786583795755499,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-83.67632815229655,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,2,-62.59961382515318,"{0: 16, 1: 5, 2: 0, 3: 1, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-65.24942171234353,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,4,-43.82006993048561,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,7,2.7519981707702743,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",35,10,-61.95407301571589,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-24.75657713324052,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,3,-58.00865565262107,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,8,-4.647288017592738,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",35,20,-57.00218160692019,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,0,-66.1735691110615,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,-26.18722004906461,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,0,-88.63395913892512,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-12.567463189504247,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,0,-71.70006237926955,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,13,16.641974174001106,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,0,-56.65851223399215,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,1,-0.17423561421171785,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-21.09029534019916,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,3,-47.83972490278486,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,2,-27.07943897860332,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,7,-25.28705179606071,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,12,12.78496524779588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,9,18.833887932173454,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,5,8.816610398927931,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,19,1.0078402005218554,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,-4.4811796273800235,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,12,3.999269459312596,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,14,-22.66896995339937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,4,-0.12813327334079028,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,5,8.596421047852505,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",35,22,-47.935536081872236,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,15,13.915838731989549,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,4,3.6126602289651664,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,2,-8.10307645091827,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,5,24.386241678371928,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,9,-19.29290522165053,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,0,-52.34022129384621,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,2,-12.761369200583326,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",30,3,-13.063736338550223,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,-14.972806386452515,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,17,12.10023812252427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",30,20,10.883276268000438,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,3,-30.26811677795748,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,3,6.120999442583258,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,9,27.416616923252093,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,7,7.21149881857228,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,7,11.27354545821743,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,3,29.408721888963328,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,0,30.640104678970914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,6,24.783679349223714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,10,22.78272176076905,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,12,24.001541514927766,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,15,24.077393718390173,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",30,19,22.101761544481263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,13,19.21806823081821,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,6,2.6721008285744645,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,17,13.10643001978702,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,8,12.72637596975243,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",25,19,9.793610049664354,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",30,15,23.81537912310204,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,8,15.437045763327296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",30,10,32.57419958278411,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",30,18,22.947298698189826,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,9,-25.44225722241213,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,17,16.317222776052088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,8,22.634211846845826,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,15,17.761461412958003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,21,27.42190817880954,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,17,17.2034691216056,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,16,9.247502251076913,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,8,15.472976659457329,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,3,37.69554445375158,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,13.864456800720612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,18,13.30478048526499,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
